Method,Statistic,Mean,Standard Error,Simulation,True value,Bias
ADMIXTOOLS 2,"f2(X1,X2)",0.017578841398305085,0.0006572600771560805,Population-based,0.017500357076271192,0.0001
ADMIXTOOLS 2,"f2(X3,X4)",0.033947552457627116,0.0007803614676087923,Population-based,0.03380228207627119,0.0001
ADMIXTOOLS 2,"f2(X2,X3)",0.07803147652542372,0.00239021785898139,Population-based,0.0780408195338983,-0.0
ADMIXTOOLS 2,"f2(X1,X4)",0.0850577106779661,0.0010430616702213982,Population-based,0.08450688580508474,0.0006
LSE_scale8,"f2(X1,X2)",0.017382945021944065,0.0006557848927502373,Population-based,0.017500357076271192,-0.0001
LSE_scale8,"f2(X3,X4)",0.033798940421098135,0.0007727770550359508,Population-based,0.03380228207627119,-0.0
LSE_scale8,"f2(X2,X3)",0.07795605189437516,0.00239521766671511,Population-based,0.0780408195338983,-0.0001
LSE_scale8,"f2(X1,X4)",0.08498220828140679,0.0010535018021114746,Population-based,0.08450688580508474,0.0005
LSE_scale12,"f2(X1,X2)",0.017575716760656102,0.000650489566336522,Population-based,0.017500357076271192,0.0001
LSE_scale12,"f2(X3,X4)",0.03394909632382754,0.0007866016135375254,Population-based,0.03380228207627119,0.0001
LSE_scale12,"f2(X2,X3)",0.07799256676226797,0.0023729371790590166,Population-based,0.0780408195338983,-0.0
LSE_scale12,"f2(X1,X4)",0.08504423844490169,0.0010647727407430679,Population-based,0.08450688580508474,0.0005
PPCA_scale8,"f2(X1,X2)",0.017269468257184152,0.0006512837118092899,Population-based,0.017500357076271192,-0.0002
PPCA_scale8,"f2(X3,X4)",0.033542842991405676,0.0007955899302461059,Population-based,0.03380228207627119,-0.0003
PPCA_scale8,"f2(X2,X3)",0.07770160926294414,0.002352257408209619,Population-based,0.0780408195338983,-0.0003
PPCA_scale8,"f2(X1,X4)",0.0843837734960578,0.0010653487335164154,Population-based,0.08450688580508474,-0.0001
PPCA_scale12,"f2(X1,X2)",0.01745801054063,0.0006655073698445288,Population-based,0.017500357076271192,-0.0
PPCA_scale12,"f2(X3,X4)",0.033715889325673216,0.0007748895563095119,Population-based,0.03380228207627119,-0.0001
PPCA_scale12,"f2(X2,X3)",0.07789404364430035,0.002335507784405034,Population-based,0.0780408195338983,-0.0001
PPCA_scale12,"f2(X1,X4)",0.08479999079230678,0.0010585768848624746,Population-based,0.08450688580508474,0.0003
ADMIXTOOLS 2,"f2(X1,X2)",0.017582668559322036,0.0017750560812547457,Individual-based,0.017500357076271192,0.0001
ADMIXTOOLS 2,"f2(X3,X4)",0.033846506567796614,0.0014809620080185508,Individual-based,0.03380228207627119,0.0
ADMIXTOOLS 2,"f2(X2,X3)",0.07834737601694915,0.002735073774668924,Individual-based,0.0780408195338983,0.0003
ADMIXTOOLS 2,"f2(X1,X4)",0.0851792429661017,0.0011538585393926779,Individual-based,0.08450688580508474,0.0007
LSE_scale8,"f2(X1,X2)",0.017226950599976695,0.001215315019250678,Individual-based,0.017500357076271192,-0.0003
LSE_scale8,"f2(X3,X4)",0.03385489809585644,0.0011623081350325846,Individual-based,0.03380228207627119,0.0001
LSE_scale8,"f2(X2,X3)",0.07833136969807399,0.002470134362722229,Individual-based,0.0780408195338983,0.0003
LSE_scale8,"f2(X1,X4)",0.08500944889225848,0.0011024309532973898,Individual-based,0.08450688580508474,0.0005
LSE_scale12,"f2(X1,X2)",0.017586585117002625,0.001249958022825966,Individual-based,0.017500357076271192,0.0001
LSE_scale12,"f2(X3,X4)",0.034074958948749325,0.0011855588634170592,Individual-based,0.03380228207627119,0.0003
LSE_scale12,"f2(X2,X3)",0.07860372931708136,0.0024539336665303727,Individual-based,0.0780408195338983,0.0006
LSE_scale12,"f2(X1,X4)",0.08513195356980084,0.0011194196622757117,Individual-based,0.08450688580508474,0.0006
PPCA_scale8,"f2(X1,X2)",0.01711057022757212,0.0012069624477964492,Individual-based,0.017500357076271192,-0.0004
PPCA_scale8,"f2(X3,X4)",0.03360701675189322,0.0011732239026861864,Individual-based,0.03380228207627119,-0.0002
PPCA_scale8,"f2(X2,X3)",0.07805053769954101,0.0024367688195342544,Individual-based,0.0780408195338983,0.0
PPCA_scale8,"f2(X1,X4)",0.08442324024978747,0.001086557478297695,Individual-based,0.08450688580508474,-0.0001
PPCA_scale12,"f2(X1,X2)",0.01732749016030517,0.0012146728835722034,Individual-based,0.017500357076271192,-0.0002
PPCA_scale12,"f2(X3,X4)",0.03378000431729737,0.0011679748276546187,Individual-based,0.03380228207627119,-0.0
PPCA_scale12,"f2(X2,X3)",0.07829355439879288,0.0024323280426213983,Individual-based,0.0780408195338983,0.0003
PPCA_scale12,"f2(X1,X4)",0.08483016469826948,0.001106684535391873,Individual-based,0.08450688580508474,0.0003
ADMIXTOOLS 2,"f2(X1,X2)",0.021399761779661016,0.0026706134735677038,Individual-based with missing values,0.017500357076271192,0.0039
ADMIXTOOLS 2,"f2(X3,X4)",0.04288497601694915,0.005128523267165466,Individual-based with missing values,0.03380228207627119,0.0091
ADMIXTOOLS 2,"f2(X2,X3)",0.09783770779661016,0.005793362893213305,Individual-based with missing values,0.0780408195338983,0.0198
ADMIXTOOLS 2,"f2(X1,X4)",0.10425328872881356,0.00319873103639911,Individual-based with missing values,0.08450688580508474,0.0197
PCA_scale8,"f2(X1,X2)",0.023309343065781273,0.0011415637809639493,Individual-based with missing values,0.017500357076271192,0.0058
PCA_scale8,"f2(X3,X4)",0.04399576173479382,0.0016948956702788729,Individual-based with missing values,0.03380228207627119,0.0102
PCA_scale8,"f2(X2,X3)",0.09521893555689577,0.0026768814508865003,Individual-based with missing values,0.0780408195338983,0.0172
PCA_scale8,"f2(X1,X4)",0.10182084212384661,0.0014256649443692541,Individual-based with missing values,0.08450688580508474,0.0173
PCA_scale12,"f2(X1,X2)",0.02605953237216678,0.0011847937251771017,Individual-based with missing values,0.017500357076271192,0.0086
PCA_scale12,"f2(X3,X4)",0.04599702291610916,0.0018731636411944577,Individual-based with missing values,0.03380228207627119,0.0122
PCA_scale12,"f2(X2,X3)",0.09999563292310762,0.00303949164718961,Individual-based with missing values,0.0780408195338983,0.022
PCA_scale12,"f2(X1,X4)",0.10833617172537204,0.002017714841848771,Individual-based with missing values,0.08450688580508474,0.0238
PPCA_scale8,"f2(X1,X2)",0.019324814817263985,0.0010288622484512372,Individual-based with missing values,0.017500357076271192,0.0018
PPCA_scale8,"f2(X3,X4)",0.035657849231529405,0.001713999596864805,Individual-based with missing values,0.03380228207627119,0.0019
PPCA_scale8,"f2(X2,X3)",0.07909553380911898,0.0023036400405745255,Individual-based with missing values,0.0780408195338983,0.0011
PPCA_scale8,"f2(X1,X4)",0.08444099331111508,0.001227616718923678,Individual-based with missing values,0.08450688580508474,-0.0001
PPCA_scale12,"f2(X1,X2)",0.02027192591403593,0.0011061133355454405,Individual-based with missing values,0.017500357076271192,0.0028
PPCA_scale12,"f2(X3,X4)",0.036527461088311695,0.0033975227776335253,Individual-based with missing values,0.03380228207627119,0.0027
PPCA_scale12,"f2(X2,X3)",0.08015574066821779,0.0036881838389345844,Individual-based with missing values,0.0780408195338983,0.0021
PPCA_scale12,"f2(X1,X4)",0.08570184118619237,0.0011632201435728474,Individual-based with missing values,0.08450688580508474,0.0012
LSE_scale8,"f3(X1;X3,X4)",0.06795741716196406,0.001019264450813805,Population-based,0.06765619947033899,0.0003
LSE_scale8,"f3(X4;X1,X2)",0.07340499011734584,0.001335950190638195,Population-based,0.07310132819915255,0.0003
LSE_scale12,"f3(X1;X3,X4)",0.06797823621238111,0.001032293430288822,Population-based,0.06765619947033899,0.0003
LSE_scale12,"f3(X4;X1,X2)",0.0734849494402877,0.0013110744687295933,Population-based,0.07310132819915255,0.0004
PPCA_scale8,"f3(X1;X3,X4)",0.06757732884288889,0.0010218298161507457,Population-based,0.06765619947033899,-0.0001
PPCA_scale8,"f3(X4;X1,X2)",0.07307152543998338,0.0013414684030979068,Population-based,0.07310132819915255,-0.0
PPCA_scale12,"f3(X1;X3,X4)",0.06785265107996678,0.0010287366270677965,Population-based,0.06765619947033899,0.0002
PPCA_scale12,"f3(X4;X1,X2)",0.07336624807571424,0.0013122041257307795,Population-based,0.07310132819915255,0.0003
ADMIXTOOLS 2,"f3(X1;X3,X4)",0.06799652466101695,0.001037700452851017,Population-based,0.06765619947033899,0.0003
ADMIXTOOLS 2,"f3(X4;X1,X2)",0.07349950527542373,0.0013185259979164915,Population-based,0.07310132819915255,0.0004
LSE_scale8,"f3(X1;X3,X4)",0.06790957368979128,0.0011565290982787882,Individual-based,0.06765619947033899,0.0003
LSE_scale8,"f3(X4;X1,X2)",0.07369592882894482,0.0015786491142962965,Individual-based,0.07310132819915255,0.0006
LSE_scale12,"f3(X1;X3,X4)",0.067970727536565,0.0011657644911442543,Individual-based,0.06765619947033899,0.0003
LSE_scale12,"f3(X4;X1,X2)",0.07381165041235829,0.0015348024070336356,Individual-based,0.07310132819915255,0.0007
PPCA_scale8,"f3(X1;X3,X4)",0.06755843582910033,0.001149944555687305,Individual-based,0.06765619947033899,-0.0001
PPCA_scale8,"f3(X4;X1,X2)",0.0733396950990689,0.0015704096040776016,Individual-based,0.07310132819915255,0.0002
PPCA_scale12,"f3(X1;X3,X4)",0.06782438776647846,0.0011738494621052456,Individual-based,0.06765619947033899,0.0002
PPCA_scale12,"f3(X4;X1,X2)",0.07363010914590196,0.0015578850460616694,Individual-based,0.07310132819915255,0.0005
ADMIXTOOLS 2,"f3(X1;X3,X4)",0.06794526858050848,0.0010881924005525,Individual-based,0.06765619947033899,0.0003
ADMIXTOOLS 2,"f3(X4;X1,X2)",0.0738999508898305,0.0015807235619025254,Individual-based,0.07310132819915255,0.0008
PCA_scale8,"f3(X1;X3,X4)",0.0798815672560889,0.0014585998953719832,Individual-based with missing values,0.06765619947033899,0.0122
PCA_scale8,"f3(X4;X1,X2)",0.08754902652623643,0.0016494552768583305,Individual-based with missing values,0.07310132819915255,0.0144
PCA_scale12,"f3(X1;X3,X4)",0.08545090533497966,0.0017621511800422712,Individual-based with missing values,0.06765619947033899,0.0178
PCA_scale12,"f3(X4;X1,X2)",0.09188771133192287,0.002341589729627983,Individual-based with missing values,0.07310132819915255,0.0188
PPCA_scale8,"f3(X1;X3,X4)",0.06674750210978238,0.0012243793903462287,Individual-based with missing values,0.06765619947033899,-0.0009
PPCA_scale8,"f3(X4;X1,X2)",0.07240441290631704,0.0015232277636139067,Individual-based with missing values,0.07310132819915255,-0.0007
PPCA_scale12,"f3(X1;X3,X4)",0.06785842272893085,0.0012952842668269916,Individual-based with missing values,0.06765619947033899,0.0002
PPCA_scale12,"f3(X4;X1,X2)",0.07302080594933458,0.0014167846633029576,Individual-based with missing values,0.07310132819915255,-0.0001
ADMIXTOOLS 2,"f3(X1;X3,X4)",0.08335523728813558,0.0024899045872832626,Individual-based with missing values,0.06765619947033899,0.0157
ADMIXTOOLS 2,"f3(X4;X1,X2)",0.09048934400423729,0.0027272727890787544,Individual-based with missing values,0.07310132819915255,0.0174
LSE_scale8,"f4(X1,X3;X2,X4)",0.05587818736636974,0.0014521815134238391,Population-based,0.05625064186440678,-0.0004
LSE_scale12,"f4(X1,X3;X2,X4)",0.05575599606134305,0.0014240803380533389,Population-based,0.05625064186440678,-0.0005
PPCA_scale8,"f4(X1,X3;X2,X4)",0.0556365357552061,0.0014712789360001863,Population-based,0.05625064186440678,-0.0006
PPCA_scale12,"f4(X1,X3;X2,X4)",0.05576006728515212,0.0014258815347023728,Population-based,0.05625064186440678,-0.0005
ADMIXTOOLS 2,"f4(X1,X3;X2,X4)",0.05578139667372881,0.0014366912680893052,Population-based,0.05625064186440678,-0.0005
LSE_scale8,"f4(X1,X3;X2,X4)",0.05612948494724958,0.0015674966034581273,Individual-based,0.05625064186440678,-0.0001
LSE_scale12,"f4(X1,X3;X2,X4)",0.056037069410565,0.0015550754872004323,Individual-based,0.05625064186440678,-0.0002
PPCA_scale8,"f4(X1,X3;X2,X4)",0.05587809548493152,0.0015984687587217033,Individual-based,0.05625064186440678,-0.0004
PPCA_scale12,"f4(X1,X3;X2,X4)",0.05600811230972975,0.0015632026477725848,Individual-based,0.05625064186440678,-0.0002
ADMIXTOOLS 2,"f4(X1,X3;X2,X4)",0.056048721927966096,0.001599567265215712,Individual-based,0.05625064186440678,-0.0002
PCA_scale8,"f4(X1,X3;X2,X4)",0.06486733644008406,0.0016815410092351271,Individual-based with missing values,0.05625064186440678,0.0086
PCA_scale12,"f4(X1,X3;X2,X4)",0.06813762468010186,0.0020605486910508985,Individual-based with missing values,0.05625064186440678,0.0119
PPCA_scale8,"f4(X1,X3;X2,X4)",0.054276931535720344,0.0014036382119144322,Individual-based with missing values,0.05625064186440678,-0.002
PPCA_scale12,"f4(X1,X3;X2,X4)",0.05452909742603136,0.0013785196194178052,Individual-based with missing values,0.05625064186440678,-0.0017
ADMIXTOOLS 2,"f4(X1,X3;X2,X4)",0.06890312936440678,0.0020978407907025678,Individual-based with missing values,0.05625064186440678,0.0127
